STT,Term,Funnel,Topic,URL slug,Translation (Vi),Definition (short),Priority,Linked from posts,Status
140,Cycle syncing for athletes,Converting,Practice,/glossary/cycle-syncing-athletes,Cycle syncing cho vận động viên,Training periodization aligned to cycle. Stacy Sims framework; evidence mixed but practical.,P1,-,Planned
,,,,,,,,,
,K. NUTRITION & SUPPLEMENTS (Adjacent),,,,,,,,
141,Magnesium (for PMS),Solution aware,Nutrition,/glossary/magnesium-pms,Magnesium cho PMS,Mineral with moderate evidence for reducing PMS symptoms. Typical dose 200-400mg/day glycinate form.,P1,#17,Planned
142,Vitamin B6 (for PMS),Solution aware,Nutrition,/glossary/vitamin-b6-pms,Vitamin B6 cho PMS,Cofactor for serotonin synthesis. Evidence for moderate PMS reduction. Dose: 50-100mg/day.,P2,#17,Planned
143,Iron (period support),Solution aware,Nutrition,/glossary/iron-period,Sắt và chu kỳ kinh,Lost during menstruation. Heavy bleeders often iron-deficient. Test ferritin before supplementing.,P1,#14,Planned
144,Omega-3 (for PMS / inflammation),Solution aware,Nutrition,/glossary/omega-3-pms,Omega-3 cho PMS,EPA/DHA reduce inflammatory PMS symptoms. Dose: 1-2g combined EPA/DHA daily.,P2,-,Planned
145,Vitex (chasteberry),Solution aware,Nutrition,/glossary/vitex,Vitex (cây thiến tử),Herbal extract with moderate evidence for cycle regularity + PMS. Affects prolactin + dopamine.,P2,-,Planned
146,Inositol (for PCOS),Solution aware,Nutrition,/glossary/inositol-pcos,Inositol cho PCOS,Myo + D-chiro inositol show evidence for improving ovulation + insulin sensitivity in PCOS.,P2,-,Planned
147,Spearmint tea (for PCOS),Solution aware,Nutrition,/glossary/spearmint-tea,Trà bạc hà cho PCOS,Anti-androgenic effects in small studies. Used for hirsutism in PCOS.,P2,-,Planned
,,,,,,,,,
,L. KEY FIGURES & RESEARCH (Adjacent),,,,,,,,
148,Alisa Vitti / FloLiving,Solution aware,People,/glossary/alisa-vitti,Alisa Vitti,Cycle syncing popularizer; FloLiving founder; author of "WomanCode" + "In the FLO".,P1,#16,Planned
149,Stacy Sims,Solution aware,People,/glossary/stacy-sims,Stacy Sims,Female athlete physiology researcher; author of "ROAR". Cycle-aware training research.,P1,-,Planned
150,Lara Briden,Solution aware,People,/glossary/lara-briden,Lara Briden,Naturopathic doctor; author of "Period Repair Manual". Evidence-based women's health.,P1,-,Planned
151,Sundström-Poromaa & Gingnell 2014,Solution aware,Research,/glossary/sundstrom-poromaa-2014,Nghiên cứu Sundström-Poromaa 2014,Influential review of cognitive variation across menstrual cycle. Used to ground evidence claims.,P2,#7,Planned
152,2024 phase-timed exercise meta-analysis,Solution aware,Research,/glossary/2024-exercise-meta,Nghiên cứu tổng hợp 2024,Meta-analysis finding small effect of phase-timed exercise on training outcomes. Cooled hype.,P2,#6,Planned
,,,,,,,,,
,Summary,,,,,,,,
,Total terms,152,,,,,,,
,P0 (build first wave),28,,,,,,,
,P1 (build second wave),58,,,,,,,
,P2 (build third wave),66,,,,,,,
,,,,,,,,,
,Funnel breakdown,,,,,,,,
,Unaware,22,Symptoms entry - long-tail search capture,,,,,,
,Problem aware,18,Cycle physiology basics,,,,,,
,Solution aware,75,Hormones + mechanism + phases + practice + nutrition,,,,,,
,Product aware,17,Tracking tools + apps + methods,,,,,,
,Converting,20,Edge cases + birth control + practice variations,,,,,,
,,,,,,,,,
,Topic cluster breakdown,,,,,,,,
,A. Symptoms,22,Unaware entry,,,,,,
,B. Physiology,18,Problem aware foundation,,,,,,
,C. Hormones,18,Mechanism layer,,,,,,
,D. Neurotransmitters,14,Deep mechanism,,,,,,
,E. Phases,10,Core 4 phases + sub-phases,,,,,,
,F. Practice,13,Cycle syncing methodology,,,,,,
,G. Tools,17,Tracking + apps + methods,,,,,,
,H. Conditions,12,Edge cases,,,,,,
,I. Birth control,11,Method-by-method,,,,,,
,J. Constrained practice,5,Practice variations,,,,,,
,K. Nutrition,7,Supplements + foods,,,,,,
,L. People & research,5,Authority signals,,,,,,
